assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,NMS@40,Recall@40
MAVEDB_urn_mavedb_00001274-a-1,8750,8750,0,0,0,8750,40,40,0,0,0,0,0.7721184503614195,0.0
PROTEINGYM_A0A2Z5U3Z0_9INFA_Doud_2016,10715,10715,0,0,0,10715,40,40,0,0,0,0,0.7127708730880589,0.0
PROTEINGYM_A4D664_9INFA_Soh_2019,14421,14421,0,0,0,14421,40,40,0,0,0,0,0.08559444095411275,0.0
PROTEINGYM_ADRB2_HUMAN_Jones_2020,7800,7800,0,0,0,7800,40,40,0,0,0,0,0.5853952627693745,0.0
PROTEINGYM_AMIE_PSEAE_Wrenbeck_2017,6227,6227,0,0,0,6227,40,40,0,0,0,0,0.8154102350605265,0.0
PROTEINGYM_BLAT_ECOLX_Deng_2012,4996,4996,0,0,0,4996,40,40,0,0,0,0,0.9009882269600828,0.0
PROTEINGYM_C6KNH7_9INFA_Lee_2018,10754,10754,0,0,0,10754,40,40,0,0,0,0,0.8293239516262295,0.025
PROTEINGYM_ENVZ_ECOLI_Ghose_2023,1121,1121,0,0,0,1121,40,40,0,0,0,0,0.8520106518072913,0.025
PROTEINGYM_HSP82_YEAST_Flynn_2019,13294,13294,0,0,0,13294,40,40,0,0,0,0,0.6617485876949057,0.0
PROTEINGYM_HXK4_HUMAN_Gersing_2022_activity,8570,8570,0,0,0,8570,40,40,0,0,0,0,0.443153335858974,0.0
PROTEINGYM_HXK4_HUMAN_Gersing_2023_abundance,8396,8396,0,0,0,8396,40,40,0,0,0,0,0.8368401866603696,0.0
PROTEINGYM_I6TAH8_I68A0_Doud_2015,9462,9462,0,0,0,9462,40,40,0,0,0,0,0.7817142194334591,0.0
PROTEINGYM_KCNE1_HUMAN_Muhammad_2023_function,2315,2315,0,0,0,2315,40,40,0,0,0,0,0.8064375001366664,0.0
PROTEINGYM_KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,6963,0,0,0,6963,40,40,0,0,0,0,0.6790937722370461,0.0
PROTEINGYM_KKA2_KLEPN_Melnikov_2014,4960,4960,0,0,0,4960,40,40,0,0,0,0,0.7855460967216085,0.0
PROTEINGYM_LGK_LIPST_Klesmith_2015,7890,7890,0,0,0,7890,40,40,0,0,0,0,0.9015779551147955,0.0
PROTEINGYM_MET_HUMAN_Estevam_2023,5393,5393,0,0,0,5393,40,40,0,0,0,0,0.947268352370683,0.0
PROTEINGYM_MK01_HUMAN_Brenan_2016,6809,6809,0,0,0,6809,40,40,0,0,0,0,0.7541054471957926,0.025
